targetAreaCode,slaCode,slaName,targetAreaCentroidX,targetAreaCentroidY
1231405,105450900,Blue Mountains (C),0,0
1231406,105450900,Blue Mountains (C),0,0
1231407,105450900,Blue Mountains (C),0,0
1231408,105450900,Blue Mountains (C),0,0
1231409,105450900,Blue Mountains (C),0,0
1231410,105450900,Blue Mountains (C),0,0
1231411,105450900,Blue Mountains (C),0,0
1231412,105450900,Blue Mountains (C),0,0
1231413,105450900,Blue Mountains (C),0,0
1231501,105450900,Blue Mountains (C),0,0
1231502,105450900,Blue Mountains (C),0,0
1231503,105450900,Blue Mountains (C),0,0
1231504,105450900,Blue Mountains (C),0,0
1231505,105450900,Blue Mountains (C),0,0
1231506,105450900,Blue Mountains (C),0,0
1231507,105450900,Blue Mountains (C),0,0
1231508,105450900,Blue Mountains (C),0,0
1231509,105450900,Blue Mountains (C),0,0
1231510,105450900,Blue Mountains (C),0,0
1231511,105450900,Blue Mountains (C),0,0
1231601,105450900,Blue Mountains (C),0,0
1231602,105450900,Blue Mountains (C),0,0
1231603,105450900,Blue Mountains (C),0,0
1231604,105450900,Blue Mountains (C),0,0
1231605,105450900,Blue Mountains (C),0,0
1231606,105450900,Blue Mountains (C),0,0
1231607,105450900,Blue Mountains (C),0,0
1231609,105450900,Blue Mountains (C),0,0
1231610,105450900,Blue Mountains (C),0,0
1231611,105450900,Blue Mountains (C),0,0
1231612,105450900,Blue Mountains (C),0,0
1231613,105450900,Blue Mountains (C),0,0
1231614,105450900,Blue Mountains (C),0,0
1231701,105450900,Blue Mountains (C),0,0
1231702,105450900,Blue Mountains (C),0,0
1231703,105450900,Blue Mountains (C),0,0
1231704,105450900,Blue Mountains (C),0,0
1231705,105450900,Blue Mountains (C),0,0
1231706,105450900,Blue Mountains (C),0,0
1231707,105450900,Blue Mountains (C),0,0
1231708,105450900,Blue Mountains (C),0,0
1231709,105450900,Blue Mountains (C),0,0
1231710,105450900,Blue Mountains (C),0,0
1231711,105450900,Blue Mountains (C),0,0
1231712,105450900,Blue Mountains (C),0,0
1231801,105450900,Blue Mountains (C),0,0
1231802,105450900,Blue Mountains (C),0,0
1231803,105450900,Blue Mountains (C),0,0
1231804,105450900,Blue Mountains (C),0,0
1231805,105450900,Blue Mountains (C),0,0
1231806,105450900,Blue Mountains (C),0,0
1231807,105450900,Blue Mountains (C),0,0
1231808,105450900,Blue Mountains (C),0,0
1231809,105450900,Blue Mountains (C),0,0
1231810,105450900,Blue Mountains (C),0,0
1231811,105450900,Blue Mountains (C),0,0
1231812,105450900,Blue Mountains (C),0,0
1231813,105450900,Blue Mountains (C),0,0
1231814,105450900,Blue Mountains (C),0,0
1231901,105453800,Hawkesbury (C),0,0
1231902,105453800,Hawkesbury (C),0,0
1231903,105453800,Hawkesbury (C),0,0
1231904,105453800,Hawkesbury (C),0,0
1231905,105453800,Hawkesbury (C),0,0
1231906,105453800,Hawkesbury (C),0,0
1231907,105453800,Hawkesbury (C),0,0
1231908,105453800,Hawkesbury (C),0,0
1231909,105453800,Hawkesbury (C),0,0
1231910,105453800,Hawkesbury (C),0,0
1231911,105453800,Hawkesbury (C),0,0
1231912,105453800,Hawkesbury (C),0,0
1231913,105453800,Hawkesbury (C),0,0
1232001,105453800,Hawkesbury (C),0,0
1232002,105453800,Hawkesbury (C),0,0
1232003,105453800,Hawkesbury (C),0,0
1232004,105453800,Hawkesbury (C),0,0
1232005,105453800,Hawkesbury (C),0,0
1232006,105453800,Hawkesbury (C),0,0
1232007,105453800,Hawkesbury (C),0,0
1232008,105453800,Hawkesbury (C),0,0
1232009,105453800,Hawkesbury (C),0,0
1232010,105453800,Hawkesbury (C),0,0
1232011,105453800,Hawkesbury (C),0,0
1240101,105656370,Pittwater (A),0,0
1240102,105656370,Pittwater (A),0,0
1240103,105656370,Pittwater (A),0,0
1240104,105656370,Pittwater (A),0,0
1240105,105656370,Pittwater (A),0,0
1240106,105656370,Pittwater (A),0,0
1240107,105656370,Pittwater (A),0,0
1240108,105656370,Pittwater (A),0,0
1240109,105656370,Pittwater (A),0,0
1240110,105656370,Pittwater (A),0,0
1240111,105656370,Pittwater (A),0,0
1240201,105656370,Pittwater (A),0,0
1240202,105656370,Pittwater (A),0,0
1240203,105656370,Pittwater (A),0,0
1240204,105656370,Pittwater (A),0,0
1240205,105656370,Pittwater (A),0,0
1240206,105656370,Pittwater (A),0,0
1240207,105656370,Pittwater (A),0,0
1240208,105656370,Pittwater (A),0,0
1240209,105656370,Pittwater (A),0,0
1240210,105656370,Pittwater (A),0,0
1240211,105656370,Pittwater (A),0,0
1240212,105656370,Pittwater (A),0,0
1240213,105656370,Pittwater (A),0,0
1240214,105656370,Pittwater (A),0,0
1240215,105656370,Pittwater (A),0,0
1240301,105656370,Pittwater (A),0,0
1240302,105656370,Pittwater (A),0,0
1240303,105656370,Pittwater (A),0,0
1240304,105656370,Pittwater (A),0,0
1240305,105656370,Pittwater (A),0,0
1240306,105656370,Pittwater (A),0,0
1240307,105656370,Pittwater (A),0,0
1240308,105656370,Pittwater (A),0,0
1240309,105656370,Pittwater (A),0,0
1240310,105656370,Pittwater (A),0,0
1240311,105656370,Pittwater (A),0,0
1240401,105656370,Pittwater (A),0,0
1240402,105656370,Pittwater (A),0,0
1240403,105656370,Pittwater (A),0,0
1240404,105656370,Pittwater (A),0,0
1240405,105656370,Pittwater (A),0,0
1240406,105656370,Pittwater (A),0,0
1240407,105656370,Pittwater (A),0,0
1240408,105656370,Pittwater (A),0,0
1240409,105656370,Pittwater (A),0,0
1240410,105656370,Pittwater (A),0,0
1240411,105656370,Pittwater (A),0,0
1240412,105656370,Pittwater (A),0,0
1240413,105656370,Pittwater (A),0,0
1240414,105656370,Pittwater (A),0,0
1240501,105656370,Pittwater (A),0,0
1240502,105656370,Pittwater (A),0,0
1240503,105656370,Pittwater (A),0,0
1240504,105656370,Pittwater (A),0,0
1240505,105656370,Pittwater (A),0,0
1240506,105656370,Pittwater (A),0,0
1240507,105656370,Pittwater (A),0,0
1240508,105656370,Pittwater (A),0,0
1240509,105656370,Pittwater (A),0,0
1240510,105656370,Pittwater (A),0,0
1240511,105656370,Pittwater (A),0,0
1240512,105656370,Pittwater (A),0,0
1240513,105656370,Pittwater (A),0,0
1240514,105656370,Pittwater (A),0,0
1240515,105656370,Pittwater (A),0,0
1240601,105656370,Pittwater (A),0,0
1240602,105656370,Pittwater (A),0,0
1240603,105656370,Pittwater (A),0,0
1240604,105656370,Pittwater (A),0,0
1240605,105656370,Pittwater (A),0,0
1240606,105656370,Pittwater (A),0,0
1240607,105656370,Pittwater (A),0,0
1240608,105656370,Pittwater (A),0,0
1240609,105656370,Pittwater (A),0,0
1240610,105656370,Pittwater (A),0,0
1240611,105656370,Pittwater (A),0,0
1240612,105656370,Pittwater (A),0,0
1240701,105656370,Pittwater (A),0,0
1240702,105656370,Pittwater (A),0,0
1240703,105656370,Pittwater (A),0,0
1240704,105656370,Pittwater (A),0,0
1240705,105656370,Pittwater (A),0,0
1240706,105656370,Pittwater (A),0,0
1240707,105656370,Pittwater (A),0,0
1240708,105656370,Pittwater (A),0,0
1240709,105656370,Pittwater (A),0,0
1240710,105656370,Pittwater (A),0,0
1240801,105656370,Pittwater (A),0,0
1240802,105656370,Pittwater (A),0,0
1240803,105656370,Pittwater (A),0,0
1240804,105656370,Pittwater (A),0,0
1240805,105656370,Pittwater (A),0,0
1240806,105656370,Pittwater (A),0,0
1240807,105656370,Pittwater (A),0,0
1240808,105656370,Pittwater (A),0,0
1240809,105656370,Pittwater (A),0,0
1240810,105656370,Pittwater (A),0,0
1240811,105656370,Pittwater (A),0,0
1240812,105656370,Pittwater (A),0,0
1240813,105656370,Pittwater (A),0,0
1240901,105658000,Warringah (A),0,0
1240902,105658000,Warringah (A),0,0
1240903,105658000,Warringah (A),0,0
1240904,105658000,Warringah (A),0,0
1240905,105658000,Warringah (A),0,0
1240906,105658000,Warringah (A),0,0
1240907,105658000,Warringah (A),0,0
1240908,105658000,Warringah (A),0,0
1240909,105658000,Warringah (A),0,0
1240910,105658000,Warringah (A),0,0
1240911,105658000,Warringah (A),0,0
1241001,105658000,Warringah (A),0,0
1241002,105658000,Warringah (A),0,0
1241003,105658000,Warringah (A),0,0
1241004,105658000,Warringah (A),0,0
1241005,105658000,Warringah (A),0,0
1241006,105658000,Warringah (A),0,0
1241007,105658000,Warringah (A),0,0
1241008,105658000,Warringah (A),0,0
1241009,105658000,Warringah (A),0,0
1241010,105658000,Warringah (A),0,0
1241011,105658000,Warringah (A),0,0
1241012,105658000,Warringah (A),0,0
1241013,105658000,Warringah (A),0,0
1241014,105658000,Warringah (A),0,0
1241101,105658000,Warringah (A),0,0
1241102,105658000,Warringah (A),0,0
1241103,105658000,Warringah (A),0,0
1241104,105658000,Warringah (A),0,0
1241105,105658000,Warringah (A),0,0
1241106,105658000,Warringah (A),0,0
1241107,105658000,Warringah (A),0,0
1241108,105658000,Warringah (A),0,0
1241109,105658000,Warringah (A),0,0
1241110,105658000,Warringah (A),0,0
1241111,105658000,Warringah (A),0,0
1241112,105658000,Warringah (A),0,0
1241113,105658000,Warringah (A),0,0
1241201,105658000,Warringah (A),0,0
1241202,105658000,Warringah (A),0,0
1241203,105658000,Warringah (A),0,0
1241204,105658000,Warringah (A),0,0
1241205,105658000,Warringah (A),0,0
1241206,105658000,Warringah (A),0,0
1241207,105658000,Warringah (A),0,0
1241208,105658000,Warringah (A),0,0
1241209,105658000,Warringah (A),0,0
1241210,105658000,Warringah (A),0,0
1241211,105658000,Warringah (A),0,0
1241212,105658000,Warringah (A),0,0
1241301,105658000,Warringah (A),0,0
1241302,105658000,Warringah (A),0,0
1241303,105658000,Warringah (A),0,0
1241304,105658000,Warringah (A),0,0
1241305,105658000,Warringah (A),0,0
1241306,105658000,Warringah (A),0,0
1241307,105658000,Warringah (A),0,0
1241308,105658000,Warringah (A),0,0
1241309,105658000,Warringah (A),0,0
1241310,105658000,Warringah (A),0,0
1241311,105658000,Warringah (A),0,0
1241401,105658000,Warringah (A),0,0
1241402,105658000,Warringah (A),0,0
1241403,105658000,Warringah (A),0,0
1241404,105658000,Warringah (A),0,0
1241405,105658000,Warringah (A),0,0
1241406,105658000,Warringah (A),0,0
1241407,105658000,Warringah (A),0,0
1241408,105658000,Warringah (A),0,0
1241409,105658000,Warringah (A),0,0
1241410,105658000,Warringah (A),0,0
1241501,105658000,Warringah (A),0,0
1241502,105658000,Warringah (A),0,0
1241503,105658000,Warringah (A),0,0
1241504,105658000,Warringah (A),0,0
1241505,105658000,Warringah (A),0,0
1241506,105658000,Warringah (A),0,0
1241507,105658000,Warringah (A),0,0
1241508,105658000,Warringah (A),0,0
1241509,105658000,Warringah (A),0,0
1241510,105658000,Warringah (A),0,0
1241511,105658000,Warringah (A),0,0
1241512,105658000,Warringah (A),0,0
1241601,105658000,Warringah (A),0,0
1241602,105658000,Warringah (A),0,0
1241603,105658000,Warringah (A),0,0
1241604,105658000,Warringah (A),0,0
1241605,105658000,Warringah (A),0,0
1241606,105658000,Warringah (A),0,0
1241607,105658000,Warringah (A),0,0
1241608,105658000,Warringah (A),0,0
1241609,105658000,Warringah (A),0,0
1241610,105658000,Warringah (A),0,0
1241611,105658000,Warringah (A),0,0
1241612,105658000,Warringah (A),0,0
1241613,105658000,Warringah (A),0,0
1241614,105658000,Warringah (A),0,0
1241701,105658000,Warringah (A),0,0
1241702,105658000,Warringah (A),0,0
1241703,105658000,Warringah (A),0,0
1241704,105658000,Warringah (A),0,0
1241705,105658000,Warringah (A),0,0
1241706,105658000,Warringah (A),0,0
1241707,105658000,Warringah (A),0,0
1241708,105658000,Warringah (A),0,0
1241709,105658000,Warringah (A),0,0
1241710,105658000,Warringah (A),0,0
1241711,105658000,Warringah (A),0,0
1241801,105658000,Warringah (A),0,0
1241802,105658000,Warringah (A),0,0
1241803,105658000,Warringah (A),0,0
1241804,105658000,Warringah (A),0,0
1241805,105658000,Warringah (A),0,0
1241806,105658000,Warringah (A),0,0
1241807,105658000,Warringah (A),0,0
1241808,105658000,Warringah (A),0,0
1241809,105658000,Warringah (A),0,0
1241810,105658000,Warringah (A),0,0
1241811,105658000,Warringah (A),0,0
1241901,105658000,Warringah (A),0,0
1241902,105658000,Warringah (A),0,0
1241903,105658000,Warringah (A),0,0
1241904,105658000,Warringah (A),0,0
1241905,105658000,Warringah (A),0,0
1241906,105658000,Warringah (A),0,0
1241907,105658000,Warringah (A),0,0
1241908,105658000,Warringah (A),0,0
1241909,105658000,Warringah (A),0,0
1241910,105658000,Warringah (A),0,0
1242001,105658000,Warringah (A),0,0
1242002,105658000,Warringah (A),0,0
1242003,105658000,Warringah (A),0,0
1242004,105658000,Warringah (A),0,0
1242005,105658000,Warringah (A),0,0
1242006,105658000,Warringah (A),0,0
1242007,105658000,Warringah (A),0,0
1242008,105658000,Warringah (A),0,0
1242009,105658000,Warringah (A),0,0
1242010,105658000,Warringah (A),0,0
1242101,105658000,Warringah (A),0,0
1242102,105658000,Warringah (A),0,0
1242103,105658000,Warringah (A),0,0
1242104,105658000,Warringah (A),0,0
1242105,105658000,Warringah (A),0,0
1242106,105658000,Warringah (A),0,0
1242107,105658000,Warringah (A),0,0
1242108,105658000,Warringah (A),0,0
1242109,105658000,Warringah (A),0,0
1242110,105658000,Warringah (A),0,0
1242111,105658000,Warringah (A),0,0
1242112,105658000,Warringah (A),0,0
1242113,105658000,Warringah (A),0,0
1242201,105658000,Warringah (A),0,0
1242202,105658000,Warringah (A),0,0
1242203,105658000,Warringah (A),0,0
1242204,105658000,Warringah (A),0,0
1242205,105658000,Warringah (A),0,0
1242206,105658000,Warringah (A),0,0
1242207,105658000,Warringah (A),0,0
1242208,105658000,Warringah (A),0,0
1242209,105658000,Warringah (A),0,0
1242210,105658000,Warringah (A),0,0
1242211,105658000,Warringah (A),0,0
1242212,105658000,Warringah (A),0,0
1242213,105658000,Warringah (A),0,0
1242214,105658000,Warringah (A),0,0
1242215,105658000,Warringah (A),0,0
1242216,105658000,Warringah (A),0,0
1242217,105658000,Warringah (A),0,0
1242301,105658000,Warringah (A),0,0
1242302,105658000,Warringah (A),0,0
1242303,105658000,Warringah (A),0,0
1242304,105658000,Warringah (A),0,0
1242305,105658000,Warringah (A),0,0
1242306,105658000,Warringah (A),0,0
1242307,105658000,Warringah (A),0,0
1242308,105658000,Warringah (A),0,0
1242309,105658000,Warringah (A),0,0
1242310,105658000,Warringah (A),0,0
1242311,105658000,Warringah (A),0,0
1242312,105658000,Warringah (A),0,0
1242313,105658000,Warringah (A),0,0
1242314,105658000,Warringah (A),0,0
1242401,105658000,Warringah (A),0,0
1242402,105658000,Warringah (A),0,0
1242403,105658000,Warringah (A),0,0
1242404,105658000,Warringah (A),0,0
1242405,105658000,Warringah (A),0,0
1242406,105658000,Warringah (A),0,0
1242407,105658000,Warringah (A),0,0
1242408,105658000,Warringah (A),0,0
1242409,105658000,Warringah (A),0,0
1242410,105658000,Warringah (A),0,0
1242411,105658000,Warringah (A),0,0
1242412,105658000,Warringah (A),0,0
1242413,105658000,Warringah (A),0,0
1242414,105658000,Warringah (A),0,0
1242415,105658000,Warringah (A),0,0
1242501,105658000,Warringah (A),0,0
