zoneID,startTime,endTime,dt
1180408,2015-07-01 19:25:02.675,2015-07-01 19:25:02.687,12
1180409,2015-07-01 19:25:02.828,2015-07-01 19:25:02.844,16
1180404,2015-07-01 19:25:02.907,2015-07-01 19:25:02.923,16
1182501,2015-07-01 19:25:02.985,2015-07-01 19:25:03.172,187
1180405,2015-07-01 19:25:04.343,2015-07-01 19:25:04.45,107
1180210,2015-07-01 19:25:04.559,2015-07-01 19:25:04.606,47
1182502,2015-07-01 19:25:04.684,2015-07-01 19:25:04.715,31
1180406,2015-07-01 19:25:04.778,2015-07-01 19:25:04.793,15
1180211,2015-07-01 19:25:04.965,2015-07-01 19:25:05.027,62
1182503,2015-07-01 19:25:06.051,2015-07-01 19:25:06.282,231
1182504,2015-07-01 19:25:06.454,2015-07-01 19:25:06.485,31
1180305,2015-07-01 19:25:06.707,2015-07-01 19:25:06.738,31
1180110,2015-07-01 19:25:06.816,2015-07-01 19:25:06.816,0
1180306,2015-07-01 19:25:07.533,2015-07-01 19:25:07.558,25
1180307,2015-07-01 19:25:07.68,2015-07-01 19:25:07.696,16
1180308,2015-07-01 19:25:07.82,2015-07-01 19:25:07.836,16
1180309,2015-07-01 19:25:07.976,2015-07-01 19:25:07.992,16
1180612,2015-07-01 19:25:08.585,2015-07-01 19:25:08.695,110
1180807,2015-07-01 19:25:08.773,2015-07-01 19:25:08.804,31
1180611,2015-07-01 19:25:08.882,2015-07-01 19:25:08.913,31
1180806,2015-07-01 19:25:09.381,2015-07-01 19:25:09.428,47
1180610,2015-07-01 19:25:09.506,2015-07-01 19:25:09.522,16
1180805,2015-07-01 19:25:10.041,2015-07-01 19:25:10.056,15
1180709,2015-07-01 19:25:10.197,2015-07-01 19:25:10.259,62
1180804,2015-07-01 19:25:10.758,2015-07-01 19:25:10.789,31
1180304,2015-07-01 19:25:10.884,2015-07-01 19:25:10.9,16
1180803,2015-07-01 19:25:10.978,2015-07-01 19:25:11.056,78
1181110,2015-07-01 19:25:11.874,2015-07-01 19:25:11.889,15
1180303,2015-07-01 19:25:11.983,2015-07-01 19:25:12.014,31
1180802,2015-07-01 19:25:12.949,2015-07-01 19:25:12.98,31
1180302,2015-07-01 19:25:13.105,2015-07-01 19:25:13.12,15
1180801,2015-07-01 19:25:14.063,2015-07-01 19:25:14.078,15
1180301,2015-07-01 19:25:14.281,2015-07-01 19:25:14.297,16
1180403,2015-07-01 19:25:14.438,2015-07-01 19:25:14.485,47
1180704,2015-07-01 19:25:14.532,2015-07-01 19:25:14.579,47
1182508,2015-07-01 19:25:14.641,2015-07-01 19:25:14.766,125
1180402,2015-07-01 19:25:15.177,2015-07-01 19:25:15.183,6
1180703,2015-07-01 19:25:15.356,2015-07-01 19:25:15.372,16
1182507,2015-07-01 19:25:15.45,2015-07-01 19:25:15.466,16
1181111,2015-07-01 19:25:15.622,2015-07-01 19:25:15.623,1
1180401,2015-07-01 19:25:15.8,2015-07-01 19:25:15.924,124
1180702,2015-07-01 19:25:19.567,2015-07-01 19:25:19.583,16
1182506,2015-07-01 19:25:19.747,2015-07-01 19:25:19.747,0
1180701,2015-07-01 19:25:19.92,2015-07-01 19:25:19.936,16
1182505,2015-07-01 19:25:23.377,2015-07-01 19:25:23.377,0
1180513,2015-07-01 19:25:23.455,2015-07-01 19:25:23.47,15
1180708,2015-07-01 19:25:23.581,2015-07-01 19:25:23.614,33
1180512,2015-07-01 19:25:23.865,2015-07-01 19:25:23.897,32
1180707,2015-07-01 19:25:24.115,2015-07-01 19:25:24.131,16
1180511,2015-07-01 19:25:24.616,2015-07-01 19:25:24.617,1
1180706,2015-07-01 19:25:24.682,2015-07-01 19:25:24.697,15
1180809,2015-07-01 19:25:24.822,2015-07-01 19:25:24.853,31
1180705,2015-07-01 19:25:25.212,2015-07-01 19:25:25.228,16
1180808,2015-07-01 19:25:25.698,2015-07-01 19:25:25.906,208
1182509,2015-07-01 19:25:26.297,2015-07-01 19:25:26.468,171
1180204,2015-07-01 19:25:26.703,2015-07-01 19:25:26.891,188
1180505,2015-07-01 19:25:27.078,2015-07-01 19:25:27.296,218
1182510,2015-07-01 19:25:28.068,2015-07-01 19:25:28.146,78
1180205,2015-07-01 19:25:32.275,2015-07-01 19:25:32.275,0
1180506,2015-07-01 19:25:32.665,2015-07-01 19:25:32.68,15
1181109,2015-07-01 19:25:32.805,2015-07-01 19:25:32.836,31
1180202,2015-07-01 19:25:32.992,2015-07-01 19:25:33.024,32
1180503,2015-07-01 19:25:33.086,2015-07-01 19:25:33.086,0
1181108,2015-07-01 19:25:33.274,2015-07-01 19:25:33.337,63
1180203,2015-07-01 19:25:33.383,2015-07-01 19:25:33.415,32
1180504,2015-07-01 19:25:33.763,2015-07-01 19:25:33.779,16
1180509,2015-07-01 19:25:33.904,2015-07-01 19:25:33.919,15
1180710,2015-07-01 19:25:34.184,2015-07-01 19:25:34.2,16
1180201,2015-07-01 19:25:34.279,2015-07-01 19:25:34.295,16
1180711,2015-07-01 19:25:34.451,2015-07-01 19:25:34.497,46
1190612,2015-07-01 19:25:35.044,2015-07-01 19:25:35.06,16
1180507,2015-07-01 19:25:35.529,2015-07-01 19:25:35.545,16
1180508,2015-07-01 19:25:36.033,2015-07-01 19:25:36.347,314
1180101,2015-07-01 19:25:36.564,2015-07-01 19:25:36.564,0
1180608,2015-07-01 19:25:36.957,2015-07-01 19:25:36.959,2
1180810,2015-07-01 19:25:37.36,2015-07-01 19:25:37.375,15
1180102,2015-07-01 19:25:37.423,2015-07-01 19:25:37.454,31
1180609,2015-07-01 19:25:37.626,2015-07-01 19:25:37.641,15
1180606,2015-07-01 19:25:37.959,2015-07-01 19:25:38.006,47
1180607,2015-07-01 19:25:38.11,2015-07-01 19:25:38.116,6
1180105,2015-07-01 19:25:38.326,2015-07-01 19:25:38.358,32
1180604,2015-07-01 19:25:38.608,2015-07-01 19:25:38.623,15
1180106,2015-07-01 19:25:38.782,2015-07-01 19:25:38.813,31
